date,investor_type,value
Feb 1999,banks,36.423408
Feb 1999,insurance_companies,8.061984
Feb 1999,foreign_investors,0.563472
Feb 1999,bank_of_israel,5.432447999999999
Mar 1999,public,25.01224
Mar 1999,mutual_funds,9.495926
Mar 1999,providence_funds,56.81559399999999
Mar 1999,pension_funds,0.7125579999999999
Mar 1999,banks,38.98710199999999
Mar 1999,insurance_companies,8.201687999999999
Mar 1999,foreign_investors,0.58168
Mar 1999,bank_of_israel,5.642295999999999
Apr 1999,public,25.836744
Apr 1999,mutual_funds,9.747767
Apr 1999,providence_funds,57.262601
Apr 1999,pension_funds,0.707856
Apr 1999,banks,39.07955
Apr 1999,insurance_companies,8.361549
Apr 1999,foreign_investors,0.6636150000000001
Apr 1999,bank_of_israel,5.780824
May 1999,public,25.303905
May 1999,mutual_funds,10.24029
May 1999,providence_funds,57.835377
May 1999,pension_funds,0.756891
May 1999,banks,39.135717
May 1999,insurance_companies,8.533574999999999
May 1999,foreign_investors,0.74205
May 1999,bank_of_israel,5.862195000000001
Jun 1999,public,26.729867999999996
Jun 1999,mutual_funds,10.579337999999998
Jun 1999,providence_funds,57.48995999999999
Jun 1999,pension_funds,0.8001179999999999
Jun 1999,banks,37.264754999999994
Jun 1999,insurance_companies,8.712395999999998
Jun 1999,foreign_investors,0.7408499999999999
Jun 1999,bank_of_israel,5.852715
Jul 1999,public,25.168844
Jul 1999,mutual_funds,11.68394
Jul 1999,providence_funds,58.702496
Jul 1999,pension_funds,0.878156
Jul 1999,banks,36.91232
Jul 1999,insurance_companies,8.915516
Jul 1999,foreign_investors,0.699548
Jul 1999,bank_of_israel,5.894063999999999
Aug 1999,public,26.626776
Aug 1999,mutual_funds,12.148752000000002
Aug 1999,providence_funds,60.02823200000001
Aug 1999,pension_funds,0.898216
Aug 1999,banks,36.811632
Aug 1999,insurance_companies,9.119176
Aug 1999,foreign_investors,0.715528
Aug 1999,bank_of_israel,5.891688
Sep 1999,public,24.149834
Sep 1999,mutual_funds,11.855648
Sep 1999,providence_funds,60.71483
Sep 1999,pension_funds,0.922442
Sep 1999,banks,37.744512
Sep 1999,insurance_companies,9.315152
Sep 1999,foreign_investors,0.695612
Sep 1999,bank_of_israel,5.82197
Oct 1999,public,26.261881999999996
Oct 1999,mutual_funds,11.51704
Oct 1999,providence_funds,60.20684199999999
Oct 1999,pension_funds,1.045626
Oct 1999,banks,36.702988
Oct 1999,insurance_companies,9.39548
Oct 1999,foreign_investors,0.7273919999999999
Oct 1999,bank_of_israel,5.667596
Nov 1999,public,26.943056
Nov 1999,mutual_funds,12.112016
Nov 1999,providence_funds,61.02355000000001
Nov 1999,pension_funds,1.112328
Nov 1999,banks,37.309335
Nov 1999,insurance_companies,9.485686
Nov 1999,foreign_investors,0.679756
Nov 1999,bank_of_israel,5.839722
Dec 1999,public,25.81749
Dec 1999,mutual_funds,12.435812
Dec 1999,providence_funds,61.853434
Dec 1999,pension_funds,1.147444
Dec 1999,banks,37.509014
Dec 1999,insurance_companies,9.567202
Dec 1999,foreign_investors,0.69777
Dec 1999,bank_of_israel,6.031834
Jan 2000,public,26.127783
Jan 2000,mutual_funds,12.869604
Jan 2000,providence_funds,62.187543
Jan 2000,pension_funds,1.165725
Jan 2000,banks,36.184104000000005
Jan 2000,insurance_companies,9.885348
Jan 2000,foreign_investors,0.885951
Jan 2000,bank_of_israel,6.123942
Feb 2000,public,25.7187
Feb 2000,mutual_funds,13.7529
Feb 2000,providence_funds,62.99916
Feb 2000,pension_funds,1.18104
Feb 2000,banks,34.4988
Feb 2000,insurance_companies,10.20978
Feb 2000,foreign_investors,0.8702400000000001
Feb 2000,bank_of_israel,6.184920000000001
Mar 2000,public,26.299380000000006
Mar 2000,mutual_funds,16.048959000000004
Mar 2000,providence_funds,63.894819
Mar 2000,pension_funds,1.2357540000000002
Mar 2000,banks,33.000969
Mar 2000,insurance_companies,10.519752
Mar 2000,foreign_investors,0.903051
Mar 2000,bank_of_israel,6.527316000000001
Apr 2000,public,25.271785
Apr 2000,mutual_funds,17.142509999999998
Apr 2000,providence_funds,63.77139999999999
Apr 2000,pension_funds,1.278585
Apr 2000,banks,32.248754999999996
Apr 2000,insurance_companies,10.560165
Apr 2000,foreign_investors,0.88396
Apr 2000,bank_of_israel,6.677055
May 2000,public,26.83314
May 2000,mutual_funds,17.88876
May 2000,providence_funds,64.68962400000001
May 2000,pension_funds,1.273164
May 2000,banks,32.199768
May 2000,insurance_companies,10.620444
May 2000,foreign_investors,0.8863800000000001
May 2000,bank_of_israel,6.784836
Jun 2000,public,25.000353
Jun 2000,mutual_funds,18.042633
Jun 2000,providence_funds,64.754235
Jun 2000,pension_funds,1.438983
Jun 2000,banks,30.803724000000003
Jun 2000,insurance_companies,10.673775
Jun 2000,foreign_investors,0.6957720000000001
Jun 2000,bank_of_israel,6.752150999999999
Jul 2000,public,25.899320000000003
Jul 2000,mutual_funds,17.396230000000003
Jul 2000,providence_funds,64.13982200000001
Jul 2000,pension_funds,1.5289960000000002
Jul 2000,banks,28.972914
Jul 2000,insurance_companies,10.718574
Jul 2000,foreign_investors,0.7176920000000001
Jul 2000,bank_of_israel,6.646452
Aug 2000,public,25.858636
Aug 2000,mutual_funds,17.338106
Aug 2000,providence_funds,64.115034
Aug 2000,pension_funds,1.704106
Aug 2000,banks,29.219946000000004
Aug 2000,insurance_companies,10.756192
Aug 2000,foreign_investors,0.672262
Aug 2000,bank_of_israel,6.691352
Sep 2000,public,25.8265
Sep 2000,mutual_funds,17.5683
Sep 2000,providence_funds,64.30720000000001
Sep 2000,pension_funds,1.7584
Sep 2000,banks,29.547400000000003
Sep 2000,insurance_companies,10.8016
Sep 2000,foreign_investors,0.6436999999999999
Sep 2000,bank_of_israel,6.546899999999999
Oct 2000,public,24.815696000000003
Oct 2000,mutual_funds,18.218122
Oct 2000,providence_funds,64.196442
Oct 2000,pension_funds,1.7635520000000002
Oct 2000,banks,30.531494
Oct 2000,insurance_companies,10.848994
Oct 2000,foreign_investors,0.5353640000000001
Oct 2000,bank_of_israel,6.550336000000001
Nov 2000,public,25.899903000000005
Nov 2000,mutual_funds,18.371412000000003
Nov 2000,providence_funds,64.473555
Nov 2000,pension_funds,2.020224
Nov 2000,banks,29.230116
Nov 2000,insurance_companies,10.89027
Nov 2000,foreign_investors,0.5050560000000001
Nov 2000,bank_of_israel,6.455247000000001
Dec 2000,public,25.289015999999997
Dec 2000,mutual_funds,19.013943
Dec 2000,providence_funds,64.37061100000001
Dec 2000,pension_funds,2.280415
Dec 2000,banks,28.402962
Dec 2000,insurance_companies,10.945992
Dec 2000,foreign_investors,0.424629
Dec 2000,bank_of_israel,6.558159000000001
Jan 2001,public,19.22683
Jan 2001,mutual_funds,20.616331999999996
Jan 2001,providence_funds,72.83575599999999
Jan 2001,pension_funds,2.520492
Jan 2001,banks,28.290907
Jan 2001,insurance_companies,10.922132
Jan 2001,foreign_investors,0.403925
Jan 2001,bank_of_israel,6.753626
Feb 2001,public,19.336977
Feb 2001,mutual_funds,19.542858000000003
Feb 2001,providence_funds,72.580971
Feb 2001,pension_funds,2.438898
Feb 2001,banks,26.495301
Feb 2001,insurance_companies,10.911693
Feb 2001,foreign_investors,0.427599
Feb 2001,bank_of_israel,6.619865999999999
Mar 2001,public,19.736774
Mar 2001,mutual_funds,21.7863
Mar 2001,providence_funds,73.492452
Mar 2001,pension_funds,2.3561479999999997
Mar 2001,banks,26.062869999999997
Mar 2001,insurance_companies,10.89315
Mar 2001,foreign_investors,0.40345
Mar 2001,bank_of_israel,6.664993999999999
Apr 2001,public,19.882816
Apr 2001,mutual_funds,24.640957
Apr 2001,providence_funds,73.514096
Apr 2001,pension_funds,2.011173
Apr 2001,banks,25.556613
Apr 2001,insurance_companies,10.922468
Apr 2001,foreign_investors,0.261616
Apr 2001,bank_of_israel,6.720261000000001
May 2001,public,21.940632
May 2001,mutual_funds,24.942336
May 2001,providence_funds,73.35103199999999
May 2001,pension_funds,1.940328
May 2001,banks,25.854456
May 2001,insurance_companies,10.962024
May 2001,foreign_investors,0.23217600000000005
May 2001,bank_of_israel,6.617016000000001
Jun 2001,public,22.479842
Jun 2001,mutual_funds,27.170121999999996
Jun 2001,providence_funds,73.41963299999999
Jun 2001,pension_funds,1.84261
Jun 2001,banks,24.590468
Jun 2001,insurance_companies,11.005407
Jun 2001,foreign_investors,0.217763
Jun 2001,bank_of_israel,6.784154999999999
Jul 2001,public,21.693474
Jul 2001,mutual_funds,28.779786
Jul 2001,providence_funds,73.570626
Jul 2001,pension_funds,1.855143
Jul 2001,banks,23.197644
Jul 2001,insurance_companies,11.064006
Jul 2001,foreign_investors,0.217269
Jul 2001,bank_of_israel,6.768764999999999
Aug 2001,public,24.836060000000003
Aug 2001,mutual_funds,26.571182
Aug 2001,providence_funds,74.35508100000001
Aug 2001,pension_funds,1.8712100000000005
Aug 2001,banks,24.325730000000004
Aug 2001,insurance_companies,11.125194
Aug 2001,foreign_investors,0.18712100000000004
Aug 2001,bank_of_israel,6.8554330000000006
Sep 2001,public,27.101709
Sep 2001,mutual_funds,23.614044
Sep 2001,providence_funds,74.721096
Sep 2001,pension_funds,1.905456
Sep 2001,banks,24.464694
Sep 2001,insurance_companies,11.194554
Sep 2001,foreign_investors,0.187143
Sep 2001,bank_of_israel,6.958316999999999
Oct 2001,public,25.337999999999997
Oct 2001,mutual_funds,24.037316
Oct 2001,providence_funds,73.69979599999999
Oct 2001,pension_funds,1.9087959999999995
Oct 2001,banks,25.963004
Oct 2001,insurance_companies,11.368316
Oct 2001,foreign_investors,0.16892
Oct 2001,bank_of_israel,6.435852
Nov 2001,public,26.680605
Nov 2001,mutual_funds,24.642863
Nov 2001,providence_funds,73.945858
Nov 2001,pension_funds,1.813245
Nov 2001,banks,27.388633999999996
Nov 2001,insurance_companies,11.552961
Nov 2001,foreign_investors,0.17269
Nov 2001,bank_of_israel,6.493144
Dec 2001,public,22.4983
Dec 2001,mutual_funds,27.9102
Dec 2001,providence_funds,73.0878
Dec 2001,pension_funds,1.8281
Dec 2001,banks,28.6523
Dec 2001,insurance_companies,20.1453
Dec 2001,foreign_investors,0.181
Dec 2001,bank_of_israel,6.697
Jan 2002,public,24.77734
Jan 2002,mutual_funds,36.22031
Jan 2002,providence_funds,74.577902
Jan 2002,pension_funds,1.910314
Jan 2002,banks,26.347201999999996
Jan 2002,insurance_companies,18.270924
Jan 2002,foreign_investors,0.18913999999999995
Jan 2002,bank_of_israel,6.846868
Feb 2002,public,24.547639000000004
Feb 2002,mutual_funds,39.241783000000005
Feb 2002,providence_funds,74.36997099999999
Feb 2002,pension_funds,1.932433
Feb 2002,banks,26.09741200000001
Feb 2002,insurance_companies,18.118951000000003
Feb 2002,foreign_investors,0.19133000000000003
Feb 2002,bank_of_israel,6.811348000000001
Mar 2002,public,25.04707
Mar 2002,mutual_funds,36.75324
Mar 2002,providence_funds,72.9052
Mar 2002,pension_funds,2.01053
Mar 2002,banks,26.71938
Mar 2002,insurance_companies,18.0384
Mar 2002,foreign_investors,0.20669
Mar 2002,bank_of_israel,6.23828
Apr 2002,public,25.05937
Apr 2002,mutual_funds,34.03218
Apr 2002,providence_funds,72.90171
Apr 2002,pension_funds,1.9728799999999995
Apr 2002,banks,30.769339999999996
Apr 2002,insurance_companies,18.495749999999997
Apr 2002,foreign_investors,0.20866999999999997
Apr 2002,bank_of_israel,6.279069999999999
May 2002,public,24.651311999999997
May 2002,mutual_funds,30.757944
May 2002,providence_funds,73.33578
May 2002,pension_funds,2.135448
May 2002,banks,31.09512
May 2002,insurance_companies,18.694536
May 2002,foreign_investors,0.26224800000000004
May 2002,bank_of_israel,6.368879999999999
Jun 2002,public,25.748574
Jun 2002,mutual_funds,25.8594
Jun 2002,providence_funds,72.258552
Jun 2002,pension_funds,2.382759
Jun 2002,banks,32.398134
Jun 2002,insurance_companies,19.135956
Jun 2002,foreign_investors,0.73884
Jun 2002,bank_of_israel,6.187785
Jul 2002,public,28.54623
Jul 2002,mutual_funds,24.470905
Jul 2002,providence_funds,72.91988500000001
Jul 2002,pension_funds,2.61579
Jul 2002,banks,32.280365
Jul 2002,insurance_companies,21.476015000000004
Jul 2002,foreign_investors,1.0046150000000005
Jul 2002,bank_of_israel,6.2551499999999995
Aug 2002,public,28.248036000000003
Aug 2002,mutual_funds,23.382255
Aug 2002,providence_funds,72.94884900000001
Aug 2002,pension_funds,2.764218
