date,indexation,maturity,value
Oct 2000,nominal,1,8.757
Oct 2000,real,10,5.6425
Oct 2000,nominal,10,NA
Oct 2000,real,1,7.1715
Nov 2000,nominal,1,8.3631818182
Nov 2000,real,10,5.6686363636
Nov 2000,nominal,10,NA
Nov 2000,real,1,7.3195454545
Dec 2000,nominal,1,7.9519047619
Dec 2000,real,10,5.8228571429
Dec 2000,nominal,10,NA
Dec 2000,real,1,7.47
Jan 2001,nominal,1,7.6439130435
Jan 2001,real,10,5.6373913043
Jan 2001,nominal,10,NA
Jan 2001,real,1,7.1039130435
Feb 2001,nominal,1,7.2852631579
Feb 2001,real,10,5.35
Feb 2001,nominal,10,NA
Feb 2001,real,1,6.3052631579
Mar 2001,nominal,1,7.1561904762
Mar 2001,real,10,5.2038095238
Mar 2001,nominal,10,NA
Mar 2001,real,1,5.8566666667
Apr 2001,nominal,1,6.9184210526
Apr 2001,real,10,5.0794736842
Apr 2001,nominal,10,NA
Apr 2001,real,1,6.4084210526
May 2001,nominal,1,6.6042857143000004
May 2001,real,10,4.82
May 2001,nominal,10,6.48875
May 2001,real,1,5.8738095238
Jun 2001,nominal,1,6.3995
Jun 2001,real,10,NA
Jun 2001,nominal,10,6.39
Jun 2001,real,1,5.434
Jul 2001,nominal,1,6.2390909091
Jul 2001,real,10,NA
Jul 2001,nominal,10,6.6277272727
Jul 2001,real,1,5.0318181818
Aug 2001,nominal,1,6.5422727273
Aug 2001,real,10,NA
Aug 2001,nominal,10,7.2931818182
Aug 2001,real,1,4.5177272727
Sep 2001,nominal,1,6.86875
Sep 2001,real,10,4.6361538462
Sep 2001,nominal,10,8.064375
Sep 2001,real,1,4.136875
Oct 2001,nominal,1,6.3968421053
Oct 2001,real,10,4.6647368421
Oct 2001,nominal,10,7.4541176471
Oct 2001,real,1,4.6131578947
Nov 2001,nominal,1,5.9414285714
Nov 2001,real,10,4.7252380952
Nov 2001,nominal,10,NA
Nov 2001,real,1,4.9861904762
Dec 2001,nominal,1,5.0940909091
Dec 2001,real,10,4.3981818182
Dec 2001,nominal,10,NA
Dec 2001,real,1,4.2522727273
Jan 2002,nominal,1,4.2404347826
Jan 2002,real,10,3.8326086957
Jan 2002,nominal,10,NA
Jan 2002,real,1,2.3973913043
Feb 2002,nominal,1,4.6778947368
Feb 2002,real,10,4.0089473684
Feb 2002,nominal,10,NA
Feb 2002,real,1,2.4015789474
Mar 2002,nominal,1,5.5105263158
Mar 2002,real,10,4.4947368421
Mar 2002,nominal,10,NA
Mar 2002,real,1,3.8078947368
Apr 2002,nominal,1,6.0783333333
Apr 2002,real,10,5.0116666667
